Time (ms), Command Position (mm), Encoded Position (mm)
11.700000000000001, 90.29948046874996, 90.29402343749996
11.8, 90.29997656249995, 90.29402343749996
11.9, 90.30096874999995, 90.29402343749996
12.0, 90.30196093749996, 90.29402343749996
12.100000000000001, 90.30245703124994, 90.29699999999994
12.200000000000001, 90.30344921874996, 90.29699999999994
12.3, 90.30444140624995, 90.29699999999994
12.4, 90.30543359374995, 90.29699999999994
12.5, 90.30592968749995, 90.29997656249995
12.600000000000001, 90.30692187499996, 90.29997656249995
12.700000000000001, 90.30791406249995, 90.29997656249995
12.8, 90.30841015624995, 90.29997656249995
12.9, 90.30940234374995, 90.29997656249995
13.0, 90.31039453124995, 90.30344921874996
13.100000000000001, 90.31089062499996, 90.30344921874996
13.200000000000001, 90.31188281249995, 90.30642578124996
13.3, 90.31287499999996, 90.30642578124996
